Location,Capacity (MWh),Capacity (MW),Battery Modules,Integrator,Application,Installation,Enclosure Type,Event Date,System Age (yr),Cause,Extent of Damage,State during Accident,Description,Source,Additional Resources,Other Notes,"Custom location (Lat, Lon)",Root Cause,Failed Element,Source URL 1,Source URL 2,Source URL 3
"Japan, Ibaraki Prefecture",,2.0,NGK [NaS],,,Industrial,,21/09/2011,,"The report states, “A localized high temperature occurred due to a clearance malfunction in a single battery cell, causing that one battery cell to rupture. This caused a short circuit to occur inside the modular battery, causing multiple battery cells to rupture, and the entire modular battery caught fire.” The conclusion of the investigation committee was that either a manufacturing flaw or initial defect caused the fire.",Fire,,A sodium-sulfur BESS fire occurred at Mistubishi Material Corp's Tsukuba plant,NGK,,,,,,,,
"US, HI, Kahuku",10.0,15.0,Xtreme [PbA],,Wind Integration,Island,Prefab,01/08/2012,1.5,,Fire,,"The BESS, co-located with a 30 MW wind farm, caught fire.",Hawaii News Now,,,,,,https://energy.hawaii.gov/news/2021/08/kahuku-bess-fire-report,https://www.staradvertiser.com/2021/08/10/hawaii-news/kahuku-battery-storage-fire-contained/,https://www.khon2.com/local-news/fire-at-kahuku-battery-storage-facility-2021/
"US, AZ, Flagstaff",1.5,0.5,,Electrovaya,Solar integration,,,26/11/2012,1.5,,,,,AZ Daily Sun,,,,,,,,
"US, WA, Port Angeles",,,,,Energy Shifting,Mall,,03/07/2013,,,Fire,,The hybrid solar + wind + storage system caught fire inside Landing Mall.,Peninsula Daily News,,,,,,,,
"US, WI, Franklin",,,,,,Factory,,10/08/2016,0.0,,Fire,"Assembly, Installation","S&C Electric was assembling a BESS at its facility.  The batteries were not operating nor connected to a power source/load when the partially assembled lithium ion system caught fire, starting in one of the DC power and control compartments of a battery rack and then propagating. Fire suppression and containment systems were not yet functional, but propgation was limited to one container with water cooling. The fire extinguished in a few hours. ",S&C,,,,,,,,
"China, Shanxi",,,,,,,Container,07/03/2017,,,,,BESS containers caught fire. The same site experienced another failure and fire 8 months later. ,Sohu,,,,,,,,
"South Korea, North Jeolla, Gochang",1.46,,,,Wind Integration,Waterfront,Container,02/08/2017,0.0,,,Installation,,"MOTIE Investigation, June 2019",,,,,,,,
"Belgium, Drogenbos",,6.0,,Engie,Frequency Regulation,Research Park,Container,11/11/2017,,,,,,GTM,,,,,,https://www.ibz.be/en/news/2022/05/drogenbos-bess-fire-report,https://www.brusselstimes.com/2022/05/12/fire-at-drogenbos-battery-storage-facility-contained/,https://www.energy-storage.news/belgium-drogenbos-bess-fire-contained-no-injuries/
"China, Shanxi",,,,,,,Container,21/12/2017,,,,,BESS containers caught fire. The same site experienced a failure and fire 8 months prior. ,Sohu,,,,,,,,
"South Korea, North Gyeongsang, Gyeongsan",8.6,,,,Frequency Regulation,Mountains,Container,02/05/2018,1.833333333,,,Maintenance,BMS system Error. ,Yonhap News Agency,,,,BMS Design failure(insulation distance),,,,
"South Korea, South Jeolla, Yeongam",14.0,,Samsung SDI,,Wind Integration,Mountains,Prefab,02/06/2018,2.416666667,,,Maintenance,BMS System Error,Yonhap News Agency,,,,BMS System Error,,,,
"South Korea, North Jeolla, Gunsan",18.965,,Samsung SDI,,Solar Integration,Waterfront,Prefab,15/06/2018,0.5,,,"Charged, inactive",Due to poor construction (such as condensation or water leakage),No Cut News ,Original Source (Korean),,,Poor construction,Deterioration of insulation due to environmental factors,,,
"South Korea, South Jeolla, Haenam",2.99,,LG Chem,,Solar Integration,Waterfront,Prefab,12/07/2018,0.583333333,,,"Charged, inactive",Due to poor construction (such as condensation or water leakage),Kyunghyang Shinmun,Original Source (Korean),,,,,,,
"South Korea, South Gyeongsang, Geochang",9.7,,Samsung SDI,,Wind Integration,Mountains,Prefab,21/07/2018,1.583333333,,,"Charged, inactive",BMS System Error ,Gyeongnam Newspaper,Original Source (Korean),,,,,,,
"South Korea, Sejong",18.0,,Samsung SDI,,Demand Charge Mgmt,Factory,Prefab,28/07/2018,0.0,,,Installation,"Occurred in the process of supplying electricity for the commissioning of ESS, presumption of operator negligence,",Joongdo Ilbo,Original Source (Korean),,,,,,,
"South Korea, Chungcheongbuk-do, Yeongdong",5.989,,LG Chem,,Solar Integration,Mountains,Prefab,01/09/2018,0.666666667,,,"Charged, inactive",poor construction (deterioration of insulation due to poor construction such as condensation or water leakage),Korea Economics,original Source (Korean),,,,,,,
"South Korea, Chungcheongnam, Taean",6.0,,Samsung SDI,,Solar Integration,Waterfront,Prefab,07/09/2018,0.0,,,Installation," Negligence of the operator & construction defects during construction, ",Chosun Ilbo,Original Source (Korean),,,,,,,
"South Korea, Jeju",0.18,,"Revo Co., Ltd. (KEPCO) product use",,Solar Integration,,Concrete,14/09/2018,4.0,,,Charging,"Not tested before use,
Battery burnout due to poor BMS",Jejusori,Original Source (Korean),,,"Integration, Construction, or Assembly",Balance of plant,,,
"South Korea, Gyeonggi, Yongin",17.7,,Samsung SDI,,Frequency Regulation,Factory,Container,18/10/2018,2.583333333,,,Maintenance,"Occured during performance test,
Occurred only 6 days after the Close Safety Diagnosis was carried out, presumed to be a fire caused by PCS breakage,",E2news,Original Source (Korean),,,Operation,Controls,,,
"South Korea, North Gyeongsang, Yeongju",3.66,,LG Chem,,Solar Integration,Mountains,Prefab,12/11/2018,0.75,,,"Charged, inactive",Occred even after passing Close Safety Diagnosis. ,Kyongbuk Ilbo,Original Source (Korean),,,,,,,
"South Korea, South Chungcheong, Cheonan",1.22,,LG Chem,,Solar Integration,Mountains,Prefab,12/11/2018,0.916666667,,,"Charged, inactive",,FPN,Original Source (Korean),,,Operation,Controls,,,
"South Korea, Gyeongsangbuk-do, Mungyeong",4.16,,LG Chem,,Solar Integration,Mountains,Prefab,21/11/2018,0.916666667,,,"Charged, inactive",,JTBC News,Original Source (Korean),,,,,,,
"South Korea, South Gyeongsang, Geochang",1.331,,LG Chem,,Solar Integration,Mountains,Prefab,22/11/2018,0.583333333,,,"Charged, inactive",,Gyeongnam Newspaper,Original Source (Korean),,,,,,,
"South Korea, North Chungcheong, Jecheon",9.316,,LG Chem,,Demand Charge Mgmt,Mountains,Prefab,17/12/2018,1.0,,,"Charged, inactive",,Yonhap News Agency,Original Source (Korean),,,,,,,
"South Korea, Gangwon, Samcheok",2.662,,,,Solar Integration,Mountains,Concrete,22/12/2018,1.0,,,"Charged, inactive",,Korea Economics,Munhwa Ilbo,,,,,,,
"South Korea, South Gyeongsangnam, Yangsan",3.289,,LG Chem,LG CNS,Demand Charge Mgmt,Factory,Concrete,14/01/2019,0.833333333,,,"Charged, inactive",,Steal & Metal News,Original Source (Korean),,,,,,,
"South Korea, South Jeolla, Wando",5.22,,INCELL,,Solar Integration,Mountains,Assembly Room,14/01/2019,1.166666667,,,Charging,,TvChosun,Original Source (Korean),,,Operation,Controls,,,
"South Korea, North Jeolla, Jangsu",2.496,,,,Solar Integration,Mountains,Container,15/01/2019,0.75,,,"Charged, inactive",,"MOTIE Investigation, June 2019",,,,,,,,
"South Korea, Ulsan",46.757,,,,Demand Charge Mgmt,Factory,Concrete,21/01/2019,0.583333333,,,"Charged, inactive",,"MOTIE Investigation, June 2019",,,,,,,,
"US, OR, Tualatin",,,Powin Energy,,Manufacturing/Testing,,,11/04/2019,0.0,,Fire,Testing,A fire broke out during a new product test of six large lithium ion batteries at a warehouse.,Oregon Live,,,,,,,,
"US, AZ, Surprise",2.0,2.0,LG Chem [NMC],AES/Fluence,"Volt Reg., PQ, Solar int.",Substation,Prefab,19/04/2019,2.083333333,Cell defect,Explosion,,"The cause was found to be an internal cell defect, which initiated a cascading thermal runaway event. Alarms and the clean agent fire suppression system activated but was not capable of preventing or stopping cascading thermal runaway in a BESS. Three hours after thermal runaway was intiated, firefighters opened a door to the battery container, agitating accumulated flammable gases and allowing the gases to contact a heat source or spark. Minutes later, an explosion occurred, injuring several firefighters. ",APS Investigation Report,,,,Manufacturing,Cell/Module,,,
"South Korea, North Gyeongsang, Chilgok",3.66,,LG Chem ,,Solar Integration,Mountains,Prefab,04/05/2019,2.25,,,"Charged, inactive","
A fire occurred during operation after LG Chem's self-inspection and reinforcement measures such as software upgrades.",Munhwa Ilbo,Original Resource (Korean),,,,,,,
"South Korea, North Jeolla, Jangsu",1.027,,,,Solar Integration,Mountains,Prefab,26/05/2019,1.0,,,"Charged, discharging",Wasn't reported to the fire department,Seoul Finance,Original Resource (Korean),,,,,,,
"South Korea, Yesan",1.5,,,,Solar Integration,Mountains,Prefab,30/08/2019,1.666666667,,Fire,"Charged, inactive","The battery charging rate was increased
from 70 % to 95 %, and a fire occurred 2 
days later.",Social construction of fire accidents in battery energy storage systems in Korea,,,,Operation,Controls,,,
"France, Vitry-sur-Seine",,,,,,Datacenter,Cabinet,16/09/2019,,,,Maintenance,A small explosion occurred.,Univers Freebox,,,,,,,,
"South Korea, Pyeongchang",21.0,,,,Wind Integration,Mountains,Prefab,24/09/2019,2.666666667,,,"Charged, inactive","Battery thermal runaway occured after battery abuse from repeated overcharging and discharging, as confirmed in the EMS 
log record.",Social construction of fire accidents in battery energy storage systems in Korea,,,,Operation,Controls,,,
"South Korea, Gunwi",1.5,,,,Solar Integration,Mountains,Prefab,29/09/2019,1.75,,Fire,Discharging,"Smoke of an unknown cause occurred in 
batteries (Rack#3, Module#9) and 
battery internal fire occurred as a result 
of BMS investigation.",Social construction of fire accidents in battery energy storage systems in Korea,,,,Operation,Controls,,,
"South Korea, Hadong",1.3,,,,Solar Integration,Mountains,Prefab,21/10/2019,1.25,,Fire,"Charged, inactive","A sudden deterioration in insulation 
performance first occurred on BSC#1, 
followed by a gradual deterioration on 
the other side (BSC#2), resulting in a fire .",Social construction of fire accidents in battery energy storage systems in Korea,,,,"Integration, Construction, or Assembly",Balance of Plant,,,
"South Korea, Gimhae",2.2,,,,Solar Integration,,Prefab,27/10/2019,1.5,,,"Charged, inactive","In the EMS log record, the voltage 
deviation of each battery inside the 
battery rack continuously increases, 
resulting in thermal runaway.",Social construction of fire accidents in battery energy storage systems in Korea,,,,Operation,Controls,,,
"Australia, Brisbane",,,,,,,,17/03/2020,6.7,,Explosion,,"A battery on the fifth floor of a Griffith University building caught fire. An explosion occured, injuring one firefighter. The fire was extinguished in 2 hours. ",Brisbane Times,7 News Brisbane,,,,,,,
"South Korea, Haenam",,,,,Solar Integration,Field,Prefab,27/05/2020,2.2,Overcharge,Fire,,"The BESS at a solar + storage facility caught fire. The South Korean government had implemented an upper limit of SOC of 90% for outdoor installations at the beginning of the year, but it was confirmed that the company had continued to operate with an upper limit of SOC of 95% as before. The cause is suspected to be battery deterioration due to overcharging or BMS error.",E2 News (Translated),"E2 News (Original source, Korean)",,,Manufacturing,Cell/Module,,,
"UK, Liverpool",10.0,20.0,,Orsted,Frequency Regulation,,Container,15/09/2020,1.5,"The cause is suspected to be thermal runaway, which led to the ignition of flammable gases produced by the cells.",Explosion,,"An explosion occurred before emergency responders were notified. The fire department arrived and contained the fire, which was limited to one out of the three containers, and confirmed end of incident two days later. ",Investigation Report,Energy Storage News,,,Manufacturing,Cell/Module,,,
"France, Ariege, Perles-et-Castelet",0.5,0.5,Narada [LFP],,Hybrid Supercacitor plus Storage System,Substation,Container,01/12/2020,0.0,Electrical and insulation failure,Fire,"Commissioning, testing","The substation has 500 kWh of batteries and 1 MW - 10s of supercapacitors. The supercapacitors were not involved in the cause of failure, which happened during acceptance testing. The investigation found that rack #2 suddenly discharged into rack #3, and the current passed through only modules #1 to #7 of rack #3. The insulation resistance of rack #2 fell below the safety threshold and neared short circuit for rack #3. The investigation report provides a hypothesis of two faults resulting in failure: an electrical connection failed and came into contact with the metal frame, and an insulation fault between the busbar connecting a module to the BPU box, which may have caused an electric arc upstream of the fuse. The container was destroyed. ",Investigation Report (English Translation),"Investigation Report (Original source, French)",,,,,,,
"Gogyeong-myeon, Gyeongsangbuk-do, South Korea",4.0,,LG Energy Solution,,Solar Integration,,,11/03/2021,,,,,,Newspim,[https://www-newswatch-kr.translate.goog/news/articleView.html?idxno=55014&_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en-US News Watch],,,,,,,
"South Korea, YoungCheon City",8.4,,,,Solar Integration,,,11/03/2021,,,$770k est.,,,Social construction of fire accidents in battery energy storage systems in Korea,,,,,,,,
"South Korea, Hongseong",,,LG Energy Solution,,Solar Integration,,,06/04/2021,3.0,,,,,Business Korea,[http://www.koreaittimes.com/news/articleView.html?idxno=105081 Korea IT Times],,,Operation,Controls,,,
"Australia, Bohle Plains",8.0,4.0,Tesla,Tesla,VPP,,Integrated products,07/04/2021,1.25,,,Commissioning,A fire broke out during commissioning of Tesla Powerpacks.,Queensland Government,Energy Council,,,,,,,
"China, Beijing",25.0,,Gotion High-Tech [LFP],,Solar Integration,Commercial,Container,16/04/2021,2.0,"The report details several possible causes, but is inconclusive. Possible causes included cell defects, sand/dust accumulation, overcharging, and other possibilities. ",Explosion,"Construction, Commissioning","A fire broke out at a BESS located on the roof of a shopping mall. An explosion occurred, killing two firefighters and injuring a third. ",Investigation Report (English Translation),,,,,,https://yjglj.beijing.gov.cn/en/news/2021/04/16/beijing-bess-fire-explosion-report,https://www.xinhuanet.com/english/2021-04/16/c_139885432.htm,https://www.scmp.com/news/china/science/article/3129854/beijing-battery-storage-plant-fire-kills-two-firefighters
"US, MI, Standish",,,,,Demand Charge Mgmt,Substation,Container,19/04/2021,,,Fire,,"Sparks were seen coming out of a BESS container. A fire broke out, and was limited to one container.",WSGW,,,,,,,,
"France, New Caledonia, Boulouparis",,,,,Solar Integration,Rural,,13/07/2021,,,,,Two BESS containers were destroyed in a fire at a solar + storage facility. ,La 1ere (Translated),"La 1ere (Original source, French)",,,,,,,
"Germany, Neuhardenberg",5.0,5.0,[LFP],,Solar Integration and Frequency Regulation,Indoor/Hangar,Container,18/07/2021,5.0,,,,A BESS caught fire at a solar + storage facility. Images show the BESS being indoors.,RBB 24 (Translated),"RBB 24 (Original source, German)",,,,,https://www.brandenburg.de/en/news/2022/06/neuhardenberg-bess-fire-report,https://www.dw.com/en/germany-battery-storage-fire-neuhardenberg-contained/a-61987654,https://www.pv-magazine.com/2022/06/15/fire-at-neuhardenberg-battery-storage-system-in-germany/
"US, IL, LaSalle",36.0,36.0,Sinexcel [LFP],Energport,"Solar and Wind Integration, Frequency Regulation",Rural,Container,19/07/2021,1.6,,,,One container at a BESS plant caught fire. The fire was extinguished later the same day. ,WSPY,[https://epri.box.com/s/bqyf64pvqg94dhhqrjujrelz4uqeloct Energy Storage News]<br>[https://epri.box.com/s/5kdbf24m63i3a3zcdkfhoz7dh3lt9k3y WCMY],,,"Integration, Construction, or Assembly",Balance of Plant,,,
